host datastore workers random read size oio latency workload
win1 netapp-7disk-sp 4 0 0 65536 1 2.839673 sql_server_log
win2 emc-5disk-sp 3 75 95 8192 1 9.178196 web_file_server2
win2 emc-5disk-sp 3 0 0 65536 1 1.150741 sql_server_log
win2 emc-5disk-sp 3 75 95 65536 1 10.697327 web_file_server3
win1 netapp-7disk-sp 3 75 95 8192 1 10.514121 web_file_server2
win1 netapp-7disk-sp 3 0 98 65536 1 1.539775 media_streaming
win1 netapp-7disk-sp 3 0 0 8192 1 0.893408 web_serber_log
win2 emc-5disk-sp 3 0 0 8192 1 0.899149 web_serber_log
win2 emc-5disk-sp 3 80 80 8192 1 6.742581 workstations
win2 emc-5disk-sp 3 0 0 65536 1 1.234769 sql_server_log
win1 netapp-7disk-sp 3 75 95 65536 1 14.460735 web_file_server3
win1 netapp-7disk-sp 3 100 100 1048576 1 83.482592 decision_support_db
win1 netapp-7disk-sp 3 75 95 4096 1 10.776571 web_file_server1
win2 emc-5disk-sp 3 75 95 4096 1 8.069485 web_file_server1
win2 emc-5disk-sp 3 100 67 4096 1 7.017651 exchange_server
win2 emc-5disk-sp 3 0 0 65536 1 1.219442 sql_server_log
win1 netapp-7disk-sp 3 80 80 8192 1 8.030704 workstations
win1 netapp-7disk-sp 3 75 95 65536 1 11.672496 web_file_server3
win1 netapp-7disk-sp 3 75 95 4096 1 8.401645 web_file_server1
win2 emc-5disk-sp 4 100 100 1048576 1 45.128155 decision_support_db
win2 emc-5disk-sp 4 0 98 65536 1 2.099740 media_streaming
win2 emc-5disk-sp 4 0 98 65536 1 2.097965 media_streaming
win2 emc-5disk-sp 4 0 0 8192 1 2.247978 web_serber_log
win1 netapp-7disk-sp 3 100 100 1048576 1 92.404505 decision_support_db
win1 netapp-7disk-sp 3 100 67 4096 1 8.638591 exchange_server
win1 netapp-7disk-sp 3 100 67 4096 1 8.414173 exchange_server
win2 emc-5disk-sp 4 100 100 1048576 1 72.957455 decision_support_db
win2 emc-5disk-sp 4 100 100 1048576 1 73.988114 decision_support_db
win2 emc-5disk-sp 4 100 100 1048576 1 74.849850 decision_support_db
win2 emc-5disk-sp 4 100 67 4096 1 30.191676 exchange_server
win1 netapp-7disk-sp 2 0 0 65536 1 1.242502 sql_server_log
win1 netapp-7disk-sp 2 75 95 65536 1 22.894636 web_file_server3
win2 emc-5disk-sp 4 100 67 4096 1 8.027616 exchange_server
win2 emc-5disk-sp 4 75 95 8192 1 9.582178 web_file_server2
win2 emc-5disk-sp 4 0 0 65536 1 1.234660 sql_server_log
win2 emc-5disk-sp 4 100 70 8192 1 9.458093 oltp_db
win1 netapp-7disk-sp 4 100 100 1048576 1 119.362620 decision_support_db
win1 netapp-7disk-sp 4 75 95 8192 1 13.828702 web_file_server2
win1 netapp-7disk-sp 4 100 70 8192 1 14.314420 oltp_db
win1 netapp-7disk-sp 4 0 0 65536 1 3.394810 sql_server_log
win2 emc-5disk-sp 4 100 67 4096 1 7.550451 exchange_server
win2 emc-5disk-sp 4 100 67 4096 1 7.666755 exchange_server
win2 emc-5disk-sp 4 0 0 65536 1 1.205982 sql_server_log
win2 emc-5disk-sp 4 80 80 8192 1 9.311383 workstations
win1 netapp-7disk-sp 4 0 98 65536 1 2.320681 media_streaming
win1 netapp-7disk-sp 4 75 95 65536 1 21.894398 web_file_server3
win1 netapp-7disk-sp 4 0 0 65536 1 2.320946 sql_server_log
win1 netapp-7disk-sp 4 100 70 8192 1 14.711916 oltp_db
win2 emc-5disk-sp 2 0 90 65536 1 1.088223 os_paging
win2 emc-5disk-sp 2 0 90 65536 1 1.086756 os_paging
win1 netapp-7disk-sp 3 0 0 65536 1 2.071548 sql_server_log
win1 netapp-7disk-sp 3 75 95 65536 1 20.766543 web_file_server3
win1 netapp-7disk-sp 3 0 90 65536 1 2.071208 os_paging
win2 emc-5disk-sp 2 100 70 8192 1 5.124553 oltp_db
win2 emc-5disk-sp 2 100 70 8192 1 5.444739 oltp_db
win1 netapp-7disk-sp 3 0 0 65536 1 1.340337 sql_server_log
win1 netapp-7disk-sp 3 0 0 65536 1 1.340470 sql_server_log
win1 netapp-7disk-sp 3 75 95 4096 1 17.498433 web_file_server1
win2 emc-5disk-sp 3 0 0 8192 1 0.709148 web_serber_log
win2 emc-5disk-sp 3 75 95 8192 1 6.570223 web_file_server2
win2 emc-5disk-sp 3 75 95 8192 1 6.580213 web_file_server2
win1 netapp-7disk-sp 4 75 95 8192 1 15.813030 web_file_server2
win1 netapp-7disk-sp 4 75 95 8192 1 15.741104 web_file_server2
win1 netapp-7disk-sp 4 100 100 1048576 1 106.916682 decision_support_db
win1 netapp-7disk-sp 4 0 98 65536 1 1.734643 media_streaming
win2 emc-5disk-sp 4 100 100 1048576 1 75.650170 decision_support_db
win2 emc-5disk-sp 4 0 90 65536 1 2.530392 os_paging
win2 emc-5disk-sp 4 100 67 4096 1 14.803782 exchange_server
win2 emc-5disk-sp 4 100 100 1048576 1 55.029367 decision_support_db
win1 netapp-7disk-sp 2 80 80 8192 1 10.067578 workstations
win1 netapp-7disk-sp 2 0 90 65536 1 1.377983 os_paging
win2 emc-5disk-sp 4 0 98 65536 1 1.996615 media_streaming
win2 emc-5disk-sp 4 75 95 4096 1 16.901198 web_file_server1
win2 emc-5disk-sp 4 100 100 1048576 1 55.562000 decision_support_db
win2 emc-5disk-sp 4 75 95 65536 1 25.359817 web_file_server3
win1 netapp-7disk-sp 3 100 67 4096 1 14.678626 exchange_server
win1 netapp-7disk-sp 3 0 98 65536 1 2.247935 media_streaming
win1 netapp-7disk-sp 3 0 0 65536 1 2.248156 sql_server_log
win2 emc-5disk-sp 2 80 80 8192 1 5.681007 workstations
win2 emc-5disk-sp 2 75 95 8192 1 5.870622 web_file_server2
win1 netapp-7disk-sp 3 0 0 65536 1 1.876851 sql_server_log
win1 netapp-7disk-sp 3 100 70 8192 1 14.742966 oltp_db
win1 netapp-7disk-sp 3 75 95 8192 1 15.398977 web_file_server2
win2 emc-5disk-sp 3 75 95 65536 1 11.015020 web_file_server3
win2 emc-5disk-sp 3 75 95 65536 1 11.083272 web_file_server3
win2 emc-5disk-sp 3 75 95 65536 1 12.367279 web_file_server3
win1 netapp-7disk-sp 4 75 95 65536 1 16.096708 web_file_server3
win1 netapp-7disk-sp 4 75 95 65536 1 16.300938 web_file_server3
win1 netapp-7disk-sp 4 100 100 1048576 1 101.946699 decision_support_db
win1 netapp-7disk-sp 4 75 95 8192 1 12.049996 web_file_server2
win2 emc-5disk-sp 2 80 80 8192 1 4.418846 workstations
win2 emc-5disk-sp 2 100 67 4096 1 4.166012 exchange_server
win1 netapp-7disk-sp 4 0 0 8192 1 1.090332 web_serber_log
win1 netapp-7disk-sp 4 75 95 4096 1 9.186042 web_file_server1
win1 netapp-7disk-sp 4 75 95 4096 1 9.301504 web_file_server1
win1 netapp-7disk-sp 4 75 95 8192 1 9.816286 web_file_server2
win2 emc-5disk-sp 3 0 98 65536 1 1.594674 media_streaming
win2 emc-5disk-sp 3 100 67 4096 1 10.564124 exchange_server
win2 emc-5disk-sp 3 75 95 4096 1 10.491963 web_file_server1
win1 netapp-7disk-sp 4 0 0 8192 1 0.891450 web_serber_log
win1 netapp-7disk-sp 4 0 98 65536 1 1.429988 media_streaming
win1 netapp-7disk-sp 4 0 98 65536 1 1.429614 media_streaming
win1 netapp-7disk-sp 4 0 98 65536 1 1.429744 media_streaming
win2 emc-5disk-sp 4 0 98 65536 1 1.781608 media_streaming
win2 emc-5disk-sp 4 0 0 8192 1 0.825916 web_serber_log
win2 emc-5disk-sp 4 75 95 65536 1 20.342058 web_file_server3
win2 emc-5disk-sp 4 100 70 8192 1 10.362932 oltp_db
win1 netapp-7disk-sp 2 0 0 8192 1 0.863194 web_serber_log
win1 netapp-7disk-sp 2 75 95 65536 1 12.925628 web_file_server3
win2 emc-5disk-sp 4 75 95 4096 1 10.591795 web_file_server1
win2 emc-5disk-sp 4 0 98 65536 1 1.606898 media_streaming
win2 emc-5disk-sp 4 100 70 8192 1 11.140712 oltp_db
win2 emc-5disk-sp 4 75 95 8192 1 10.949007 web_file_server2
win1 netapp-7disk-sp 3 0 0 65536 1 1.215582 sql_server_log
win1 netapp-7disk-sp 3 0 0 8192 1 0.912501 web_serber_log
win1 netapp-7disk-sp 3 75 95 8192 1 35.974232 web_file_server2
win2 emc-5disk-sp 3 0 90 65536 1 1.521696 os_paging
win2 emc-5disk-sp 3 0 98 65536 1 1.525203 media_streaming
win2 emc-5disk-sp 3 80 80 8192 1 11.648696 workstations
