datastore size read random oio latency
netapp-7diskata-dp 32768 0 0 1 2.783495
srs7diskfc_netapp 32768 0 0 1 2.765151
emc-6diskfc-sp 32768 0 0 2 1.684417
DRSStore2 32768 0 0 2 1.951249
DASStore 32768 0 0 2 2.065900
netapp-7disk-sp 32768 0 0 2 4.665636
emc-3disk-raid0 32768 0 0 2 1.684073
netapp-3diskata-sp 32768 0 0 2 5.466369
netapp-7diskata-dp 32768 0 0 2 4.796736
srs7diskfc_netapp 32768 0 0 2 4.581122
emc-6diskfc-sp 32768 0 0 4 3.331518
DRSStore2 32768 0 0 4 3.917800
DASStore 32768 0 0 4 4.037808
netapp-7disk-sp 32768 0 0 4 8.816942
emc-3disk-raid0 32768 0 0 4 3.327889
netapp-3diskata-sp 32768 0 0 4 10.473079
netapp-7diskata-dp 32768 0 0 4 8.413262
srs7diskfc_netapp 32768 0 0 4 8.167968
emc-6diskfc-sp 32768 0 0 8 6.733997
DRSStore2 32768 0 0 8 7.863163
DASStore 32768 0 0 8 8.142788
netapp-7disk-sp 32768 0 0 8 16.532750
emc-3disk-raid0 32768 0 0 8 6.735361
netapp-3diskata-sp 32768 0 0 8 22.186881
netapp-7diskata-dp 32768 0 0 8 16.772863
srs7diskfc_netapp 32768 0 0 8 13.577280
emc-6diskfc-sp 32768 0 0 16 13.428194
DRSStore2 32768 0 0 16 15.652196
DASStore 32768 0 0 16 16.219186
netapp-7disk-sp 32768 0 0 16 34.005517
emc-3disk-raid0 32768 0 0 16 13.431114
netapp-3diskata-sp 32768 0 0 16 48.826614
netapp-7diskata-dp 32768 0 0 16 35.740415
srs7diskfc_netapp 32768 0 0 16 33.532772
emc-6diskfc-sp 32768 0 0 32 27.027157
DRSStore2 32768 0 0 32 30.993221
DASStore 32768 0 0 32 33.023435
netapp-7disk-sp 32768 0 0 32 101.996688
emc-3disk-raid0 32768 0 0 32 27.023720
netapp-3diskata-sp 32768 0 0 32 92.952145
netapp-7diskata-dp 32768 0 0 32 105.861523
srs7diskfc_netapp 32768 0 0 32 100.765471
emc-6diskfc-sp 32768 0 0 64 53.358021
DRSStore2 32768 0 0 64 62.435234
DASStore 32768 0 0 64 66.191958
netapp-7disk-sp 32768 0 0 64 161.112086
emc-3disk-raid0 32768 0 0 64 53.438197
netapp-3diskata-sp 32768 0 0 64 186.008290
netapp-7diskata-dp 32768 0 0 64 168.308473
srs7diskfc_netapp 32768 0 0 64 154.034243
emc-6diskfc-sp 32768 0 0 128 106.691907
DRSStore2 32768 0 0 128 125.243116
DASStore 32768 0 0 128 131.277032
netapp-7disk-sp 32768 0 0 128 298.033423
emc-3disk-raid0 32768 0 0 128 106.669391
netapp-3diskata-sp 32768 0 0 128 366.225560
netapp-7diskata-dp 32768 0 0 128 328.531935
srs7diskfc_netapp 32768 0 0 128 290.789926
emc-6diskfc-sp 65536 0 0 1 1.222073
DRSStore2 65536 0 0 1 1.341287
DASStore 65536 0 0 1 1.406446
netapp-7disk-sp 65536 0 0 1 3.919829
emc-3disk-raid0 65536 0 0 1 1.199949
netapp-3diskata-sp 65536 0 0 1 5.889738
netapp-7diskata-dp 65536 0 0 1 3.770636
srs7diskfc_netapp 65536 0 0 1 3.220764
emc-6diskfc-sp 65536 0 0 2 2.268977
DRSStore2 65536 0 0 2 2.534994
DASStore 65536 0 0 2 2.733109
netapp-7disk-sp 65536 0 0 2 10.858024
emc-3disk-raid0 65536 0 0 2 2.216414
netapp-3diskata-sp 65536 0 0 2 10.838014
netapp-7diskata-dp 65536 0 0 2 10.038091
srs7diskfc_netapp 65536 0 0 2 10.560520
emc-6diskfc-sp 65536 0 0 4 4.604349
DRSStore2 65536 0 0 4 5.070719
DASStore 65536 0 0 4 5.458080
netapp-7disk-sp 65536 0 0 4 17.889571
emc-3disk-raid0 65536 0 0 4 4.482562
netapp-3diskata-sp 65536 0 0 4 20.126042
netapp-7diskata-dp 65536 0 0 4 17.548099
srs7diskfc_netapp 65536 0 0 4 17.518616
emc-6diskfc-sp 65536 0 0 8 9.033772
DRSStore2 65536 0 0 8 10.123419
DASStore 65536 0 0 8 10.950898
netapp-7disk-sp 65536 0 0 8 38.750551
emc-3disk-raid0 65536 0 0 8 8.850906
netapp-3diskata-sp 65536 0 0 8 39.761899
netapp-7diskata-dp 65536 0 0 8 36.844180
srs7diskfc_netapp 65536 0 0 8 36.299933
emc-6diskfc-sp 65536 0 0 16 18.455655
DRSStore2 65536 0 0 16 20.341292
DASStore 65536 0 0 16 21.843288
netapp-7disk-sp 65536 0 0 16 75.297743
emc-3disk-raid0 65536 0 0 16 18.000441
netapp-3diskata-sp 65536 0 0 16 82.810555
netapp-7diskata-dp 65536 0 0 16 74.266219
srs7diskfc_netapp 65536 0 0 16 71.889241
emc-6diskfc-sp 65536 0 0 32 36.830769
DRSStore2 65536 0 0 32 40.727176
DASStore 65536 0 0 32 43.975511
netapp-7disk-sp 65536 0 0 32 161.977729
emc-3disk-raid0 65536 0 0 32 35.976956
netapp-3diskata-sp 65536 0 0 32 154.785772
netapp-7diskata-dp 65536 0 0 32 158.385088
srs7diskfc_netapp 65536 0 0 32 158.123296
emc-6diskfc-sp 65536 0 0 64 74.361298
DRSStore2 65536 0 0 64 81.610395
DASStore 65536 0 0 64 87.812925
netapp-7disk-sp 65536 0 0 64 333.003094
emc-3disk-raid0 65536 0 0 64 72.489662
netapp-3diskata-sp 65536 0 0 64 357.632803
netapp-7diskata-dp 65536 0 0 64 334.722043
srs7diskfc_netapp 65536 0 0 64 325.862417
emc-6diskfc-sp 65536 0 0 128 146.284657
DRSStore2 65536 0 0 128 163.578029
DASStore 65536 0 0 128 173.875281
netapp-7disk-sp 65536 0 0 128 705.756163
emc-3disk-raid0 65536 0 0 128 143.525117
netapp-3diskata-sp 65536 0 0 128 739.650945
netapp-7diskata-dp 65536 0 0 128 695.791645
srs7diskfc_netapp 65536 0 0 128 688.113692
emc-6diskfc-sp 131072 0 0 1 1.603056
DRSStore2 131072 0 0 1 1.823927
DASStore 131072 0 0 1 1.866505
netapp-7disk-sp 131072 0 0 1 8.120574
emc-3disk-raid0 131072 0 0 1 1.589426
netapp-3diskata-sp 131072 0 0 1 10.513168
netapp-7diskata-dp 131072 0 0 1 9.142692
srs7diskfc_netapp 131072 0 0 1 7.518684
emc-6diskfc-sp 131072 0 0 2 3.158906
DRSStore2 131072 0 0 2 3.540480
DASStore 131072 0 0 2 3.680174
netapp-7disk-sp 131072 0 0 2 17.484087
emc-3disk-raid0 131072 0 0 2 3.115742
netapp-3diskata-sp 131072 0 0 2 21.884185
netapp-7diskata-dp 131072 0 0 2 20.847049
srs7diskfc_netapp 131072 0 0 2 17.546544
emc-6diskfc-sp 131072 0 0 4 6.267956
DRSStore2 131072 0 0 4 7.026626
DASStore 131072 0 0 4 7.413739
netapp-7disk-sp 131072 0 0 4 33.606278
emc-3disk-raid0 131072 0 0 4 6.192203
netapp-3diskata-sp 131072 0 0 4 43.161157
netapp-7diskata-dp 131072 0 0 4 37.502506
srs7diskfc_netapp 131072 0 0 4 33.835806
emc-6diskfc-sp 131072 0 0 8 12.693291
DRSStore2 131072 0 0 8 14.077713
DASStore 131072 0 0 8 14.908321
netapp-7disk-sp 131072 0 0 8 76.480363
emc-3disk-raid0 131072 0 0 8 12.548071
netapp-3diskata-sp 131072 0 0 8 86.380075
netapp-7diskata-dp 131072 0 0 8 80.510612
srs7diskfc_netapp 131072 0 0 8 76.125549
emc-6diskfc-sp 131072 0 0 16 25.547713
DRSStore2 131072 0 0 16 28.131994
DASStore 131072 0 0 16 29.822066
netapp-7disk-sp 131072 0 0 16 130.921390
emc-3disk-raid0 131072 0 0 16 25.313811
netapp-3diskata-sp 131072 0 0 16 155.085271
netapp-7diskata-dp 131072 0 0 16 145.894615
srs7diskfc_netapp 131072 0 0 16 127.821958
emc-6diskfc-sp 131072 0 0 32 50.655438
DRSStore2 131072 0 0 32 56.162844
DASStore 131072 0 0 32 59.544623
netapp-7disk-sp 131072 0 0 32 253.976891
emc-3disk-raid0 131072 0 0 32 50.259297
netapp-3diskata-sp 131072 0 0 32 316.400297
netapp-7diskata-dp 131072 0 0 32 269.777010
srs7diskfc_netapp 131072 0 0 32 248.141087
emc-6diskfc-sp 131072 0 0 64 101.892176
DRSStore2 131072 0 0 64 112.188663
DASStore 131072 0 0 64 119.170981
netapp-7disk-sp 131072 0 0 64 519.284047
emc-3disk-raid0 131072 0 0 64 101.076905
netapp-3diskata-sp 131072 0 0 64 744.357484
netapp-7diskata-dp 131072 0 0 64 699.150186
srs7diskfc_netapp 131072 0 0 64 509.663954
emc-6diskfc-sp 131072 0 0 128 202.208886
DRSStore2 131072 0 0 128 223.247032
DASStore 131072 0 0 128 238.552031
netapp-7disk-sp 131072 0 0 128 1033.015209
emc-3disk-raid0 131072 0 0 128 200.167934
netapp-3diskata-sp 131072 0 0 128 1289.719948
netapp-7diskata-dp 131072 0 0 128 1158.854705
srs7diskfc_netapp 131072 0 0 128 981.467950
emc-6diskfc-sp 1024 25 0 1 0.659587
DRSStore2 1024 25 0 1 4.650052
DASStore 1024 25 0 1 10.866571
netapp-7disk-sp 1024 25 0 1 0.440710
emc-3disk-raid0 1024 25 0 1 0.681548
netapp-3diskata-sp 1024 25 0 1 0.542209
netapp-7diskata-dp 1024 25 0 1 0.569978
srs7diskfc_netapp 1024 25 0 1 0.535779
emc-6diskfc-sp 1024 25 0 2 1.169193
DRSStore2 1024 25 0 2 5.383250
DASStore 1024 25 0 2 19.824161
netapp-7disk-sp 1024 25 0 2 0.856493
emc-3disk-raid0 1024 25 0 2 1.393786
netapp-3diskata-sp 1024 25 0 2 0.848770
netapp-7diskata-dp 1024 25 0 2 1.068841
srs7diskfc_netapp 1024 25 0 2 1.006228
emc-6diskfc-sp 1024 25 0 4 2.409517
DRSStore2 1024 25 0 4 8.032471
DASStore 1024 25 0 4 22.530925
netapp-7disk-sp 1024 25 0 4 1.767814
emc-3disk-raid0 1024 25 0 4 2.430624
netapp-3diskata-sp 1024 25 0 4 1.707900
netapp-7diskata-dp 1024 25 0 4 2.097985
srs7diskfc_netapp 1024 25 0 4 2.008269
emc-6diskfc-sp 1024 25 0 8 4.733579
DRSStore2 1024 25 0 8 12.889703
DASStore 1024 25 0 8 43.435250
netapp-7disk-sp 1024 25 0 8 3.410937
emc-3disk-raid0 1024 25 0 8 4.850671
netapp-3diskata-sp 1024 25 0 8 3.383494
netapp-7diskata-dp 1024 25 0 8 3.874862
srs7diskfc_netapp 1024 25 0 8 4.016298
emc-6diskfc-sp 1024 25 0 16 9.639171
DRSStore2 1024 25 0 16 21.957958
DASStore 1024 25 0 16 63.194492
netapp-7disk-sp 1024 25 0 16 6.935178
emc-3disk-raid0 1024 25 0 16 9.560778
netapp-3diskata-sp 1024 25 0 16 6.935720
netapp-7diskata-dp 1024 25 0 16 7.736719
srs7diskfc_netapp 1024 25 0 16 7.971248
emc-6diskfc-sp 1024 25 0 32 18.202119
DRSStore2 1024 25 0 32 38.973091
DASStore 1024 25 0 32 118.611072
netapp-7disk-sp 1024 25 0 32 13.711180
emc-3disk-raid0 1024 25 0 32 18.409718
netapp-3diskata-sp 1024 25 0 32 13.913678
netapp-7diskata-dp 1024 25 0 32 15.402635
srs7diskfc_netapp 1024 25 0 32 14.942414
emc-6diskfc-sp 1024 25 0 64 40.167827
DRSStore2 1024 25 0 64 70.902660
DASStore 1024 25 0 64 192.449778
netapp-7disk-sp 1024 25 0 64 27.918185
emc-3disk-raid0 1024 25 0 64 39.615890
netapp-3diskata-sp 1024 25 0 64 27.079692
netapp-7diskata-dp 1024 25 0 64 31.896800
srs7diskfc_netapp 1024 25 0 64 28.433440
emc-6diskfc-sp 1024 25 0 128 74.611552
DRSStore2 1024 25 0 128 132.278886
DASStore 1024 25 0 128 360.926621
netapp-7disk-sp 1024 25 0 128 58.013248
emc-3disk-raid0 1024 25 0 128 74.857953
netapp-3diskata-sp 1024 25 0 128 55.455488
netapp-7diskata-dp 1024 25 0 128 59.973132
